idx,cakes_cupcakes_snack_cakes_score,candy_score,chips_pretzels_snacks_score,chocolate_score,cookies_biscuits_score,popcorn_peanuts_seeds_related_snacks_score
4386,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
7440,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
8398,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
24996,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
27828,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
4745,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
10708,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
19261,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9732,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
16691,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
1495,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
26128,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
6513,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
26267,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
14651,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
33249,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
22567,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
14319,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
32779,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
19860,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
17319,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9959,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
14855,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
4928,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
19323,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
33381,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
17919,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
24108,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
31609,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
14906,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
22669,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9847,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
28022,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
23319,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
10346,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
18205,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
25846,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
29972,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9938,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
33103,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
11986,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
31119,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
23875,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
14511,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
34076,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
30431,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
29933,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
20984,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
34520,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9726,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
12107,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
5940,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
22321,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9453,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
2815,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
28331,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
14979,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
6009,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
31604,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
19481,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
15447,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
26099,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
16625,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
34371,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9044,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
9682,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
29640,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
14067,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
13868,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
19332,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
3366,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
32808,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
34037,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
20439,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
12893,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
23223,0.21313693,0.051864073,0.034507845,0.040411513,0.35490745,0.3051722
